algorithm,effect_size,recall_sd,fpr_sd,fdr_sd,fwer_sd,global_rejection_rate_sd,rmse.global_sd,rmse.nonnull_sd,rmse.null_sd,time_sd,recall,fpr,fdr,fwer,global_rejection_rate,rmse.global,rmse.nonnull,rmse.null,time
GAMM,0,NA,0.06972690697325125,NA,0,0,0.05191402022311523,NA,0.05191402022311523,0.04813224522397528,NA,0.7054545454545454,NA,1,0,0.3258886206247346,NA,0.3258886206247346,0.30821000000007187
GAMM,0.2,0.2176314090855754,0.2558778709628577,0.23841602031650325,0.28762349126466136,0.28762349126466136,0.04704126941220918,0.0459924612544044,0.07681568912130128,0.060441102477565144,0.24,0.5675,0.6722658294086865,0.91,0.91,0.35652860245631074,0.40555283069303233,0.24135038051962457,0.2913800000000265
GAMM,0.4,0.13079683796674343,0.18291964344923692,0.3721985303997667,0.4824181513244218,0.49756985195624304,0.0392210980358863,0.04401554703253864,0.07811172290064719,0.05546540918619669,0.06999999999999999,0.125,0.5833333333333334,0.36,0.43,0.4260281508869303,0.5187887643387121,0.1513866919512656,0.2793500000002678
GAMM,0.6,0.21974292057787437,0.13321490953047305,0.10686664034930239,0.4605661864718383,0.2564323999762428,0.03222179547877839,0.041290795880870604,0.05052335566370232,0.051409108770995554,0.46285714285714286,0.0825,0.07063492063492063,0.3,0.93,0.5151906885651061,0.6337611027094628,0.15608245848723842,0.27875000000021827
GAMM,0.8,0.08863471183360627,0.21320071635561044,0.11314517454037092,0.41633319989322654,0,0.027500851297016075,0.04096653536480182,0.05591996341867366,0.05425790544257657,0.7614285714285715,0.3,0.17132142857142857,0.78,1,0.616965875012009,0.7530098568943239,0.22481745476331771,0.2718299999998635
GAMM,1,0.06640331410167594,0.228894466441801,0.09518473278017593,0.1714466079977653,0,0.024663725734911483,0.04139118751576784,0.06383599163449036,0.0747970796981087,0.83,0.5025,0.2486681096681097,0.97,1,0.7260052749809063,0.8744329157511221,0.325616470217596,0.2772699999999895
LSVCMM,0,NA,0.1574591643244434,NA,0.1714466079977653,0.1714466079977653,0.14174354060729538,NA,0.14174354060729538,15.681460948031804,NA,0.02727272727272727,NA,0.03,0.97,0.12400904328106402,NA,0.12400904328106402,61.4991
LSVCMM,0.2,0.1984271279024388,0.14433756729740643,0.17784290588481091,0.1714466079977653,0.2190429135575903,0.12777461887305974,0.12594366879737096,0.16749370425953572,23.79627845659565,0.04285714285714286,0.025,0.1927272727272727,0.03,0.05,0.19728896064517248,0.20472338155343364,0.1512844128041116,68.8384
LSVCMM,0.4,0.22142508026852628,0.1275992384638939,0.2664233196910927,0.23868325657594203,0.49888765156985887,0.12347496574867932,0.12895667027239432,0.16454176805710793,35.90401822595343,0.14857142857142858,0.0275,0.09286042240587696,0.06,0.44,0.2275694770415489,0.2461505698260176,0.14925464807996244,94.63391000000003
LSVCMM,0.6,0.18121989794743837,0.06071959063489054,0.15521535769872088,0.1714466079977653,0.34873508801977704,0.12137932116351008,0.1273280865688714,0.15800306177624288,33.368190416542625,0.3385714285714286,0.01,0.027131782945736434,0.03,0.86,0.2172076505815889,0.23895956841532884,0.13085038328219892,125.31238999999998
LSVCMM,0.8,0.08915647211675153,0.025,0.025125945381480313,0.1,0.1,0.12701593811955472,0.13076674181159503,0.1655444864952258,28.70742861437775,0.4457142857142857,0.0025,0.0025252525252525263,0.01,0.99,0.22092123783991868,0.24462694063213158,0.12906814686998191,145.37237000000002
LSVCMM,1,0.07126966450997983,0,0,0,0,0.11392621641459787,0.11976609467379733,0.15506270336265193,24.855540856724527,0.5085714285714286,0,0,0,1,0.22560481626594664,0.25478199406522967,0.11423635078389646,140.86345000000003
LocKer,0,NA,0,NA,0,0,0,NA,0,8.574848745987769,NA,0,NA,0,1,0,NA,0,59.09755999999994
LocKer,0.2,0,0,NA,0,0,0,0,0,7.83350768432016,0,0,NA,0,0,0.20888463621412695,0.2618507491217604,0,59.79618999999995
LocKer,0.4,0,0,NA,0,0,0,0,0,6.769266664726892,0,0,NA,0,0,0.4177692724282539,0.5237014982435207,0,59.31143999999976
LocKer,0.6,0,0,NA,0,0,0,0,0,7.861573052262615,0,0,NA,0,0,0.6266539086423808,0.7855522473652812,0,59.9535499999997
LocKer,0.8,0,0,NA,0,0,0,0,0,7.9050347456350485,0,0,NA,0,0,0.8355385448565078,1.0474029964870415,0,58.87044000000009
LocKer,1,0,0,NA,0,0,0,0,0,6.3915927584521635,0,0,NA,0,0,1.0444231810706346,1.3092537456088018,0,59.23649999999998
SPFDA,0,NA,0.09757045311797119,NA,0.14070529413628968,0.14070529413628968,0.07270032694830628,NA,0.07270032694830628,18.17183687229036,NA,0.012727272727272728,NA,0.02,0.98,0.010256373400290583,NA,0.010256373400290583,138.7536
SPFDA,0.2,0.1780063208363086,0.10209299583213237,0.1388518469122629,0.1714466079977653,0.23868325657594203,0.06093248279318757,0.05318794404024807,0.0948026372201737,18.68888393825798,0.03857142857142857,0.0175,0.12407407407407406,0.03,0.06,0.21777789330211514,0.2688204707787457,0.016468946312792637,140.59002999999998
SPFDA,0.4,0.24816373658669133,0.0927960727138337,0.072020347694727,0.1714466079977653,0.451260859854213,0.13234218133643588,0.16147495816452284,0.09339526925213858,17.898133433055854,0.1357142857142857,0.015,0.023115079365079363,0.03,0.28,0.3511293717618586,0.43600337381675,0.015923646457125882,140.89842000000007
SPFDA,0.6,0.2705042360924692,0.0927960727138337,0.04680006767849905,0.1714466079977653,0.4648231987117318,0.21507491939022522,0.26705194414083677,0.08747733046740469,18.20084096551909,0.36,0.015,0.009380032206119162,0.03,0.69,0.33814440592239664,0.4202177820170306,0.014918289436527156,141.70992
SPFDA,0.8,0.23785269031101583,0.11055415967851333,0.048851375705754,0.19694638556693236,0.34873508801977704,0.22799854705717204,0.28411227527878286,0.09657423137926434,17.543423384680146,0.47714285714285715,0.02,0.009883720930232556,0.04,0.86,0.3495262343179628,0.4329512031639284,0.019393508931654126,141.65991999999997
SPFDA,1,0.1437131640129615,0.11055415967851333,0.0453966803396304,0.19694638556693236,0,0.15405433520557318,0.18823384786271488,0.10421138734645857,21.596292965236017,0.5842857142857143,0.02,0.008499999999999999,0.04,1,0.3243601796984199,0.4008421208019727,0.024920784778143995,141.77890999999988
T_test,0,NA,0.023312036361476624,NA,0.2564323999762428,0.2564323999762428,0.1015438721651715,NA,0.1015438721651715,0.006832564627937133,NA,0.006363636363636366,NA,0.07,0.93,0.3534080074460409,NA,0.3534080074460409,0.07076999999994768
T_test,0.2,0.06098213559459856,0.04923659639173309,0.36923220008880264,0.19694638556693236,0.34873508801977704,0.1015438721651715,0.10941102742114063,0.1392170945507706,0.00792369544433036,0.02,0.01,0.19642857142857142,0.04,0.14,0.3534080074460409,0.34576203900412184,0.34985368941669276,0.0692699999999877
T_test,0.4,0.15020085501091907,0.06527912098338669,0.0862581949177943,0.19694638556693236,0.502518907629606,0.1015438721651715,0.10941102742114063,0.1392170945507706,0.010165355106670819,0.12,0.0125,0.025000000000000005,0.04,0.5,0.35340800744604095,0.34576203900412184,0.34985368941669276,0.06632999999997083
T_test,0.6,0.1855366005350854,0.06944949476585358,0.05925257726931966,0.2190429135575903,0.34873508801977704,0.1015438721651715,0.10941102742114063,0.1392170945507706,0.007683749084889948,0.28428571428571425,0.015,0.014341085271317831,0.05,0.86,0.3534080074460409,0.34576203900412184,0.34985368941669276,0.07347999999999956
T_test,0.8,0.11904761904761904,0.07329716739052572,0.058219947522840404,0.23868325657594203,0,0.1015438721651715,0.10941102742114063,0.1392170945507706,0.009495022619567965,0.43571428571428567,0.0175,0.014333333333333335,0.06,1,0.35340800744604095,0.34576203900412184,0.34985368941669276,0.07118999999998778
T_test,1,0.07911070345636262,0.07329716739052572,0.05636058153989499,0.23868325657594203,0,0.1015438721651715,0.10941102742114063,0.1392170945507706,0.007735501263548607,0.5114285714285715,0.0175,0.013833333333333333,0.06,1,0.35340800744604095,0.34576203900412184,0.34985368941669276,0.07198000000003958
