"job.id","problem","algorithm","n_subjects","n_timepoints","prop_observed","observation_variance","random_effect_variance","effect_size","seed","selection","boot","adaptive","estimate_variance_components","random_effect","kernel_scale","name"
1,"synthetic","LSVCMM",100,11,0.5,1,0,1,1,"aic",FALSE,1,FALSE,FALSE,0,"independent"
2,"synthetic","LSVCMM",100,11,0.5,1,0,1,1,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
3,"synthetic","LSVCMM",100,11,0.5,1,0,1,1,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
4,"synthetic","LSVCMM",100,11,0.5,1,0,1,1,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
5,"synthetic","LSVCMM",100,11,0.5,1,0,1,2,"aic",FALSE,1,FALSE,FALSE,0,"independent"
6,"synthetic","LSVCMM",100,11,0.5,1,0,1,2,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
7,"synthetic","LSVCMM",100,11,0.5,1,0,1,2,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
8,"synthetic","LSVCMM",100,11,0.5,1,0,1,2,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
9,"synthetic","LSVCMM",100,11,0.5,1,0,1,3,"aic",FALSE,1,FALSE,FALSE,0,"independent"
10,"synthetic","LSVCMM",100,11,0.5,1,0,1,3,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
11,"synthetic","LSVCMM",100,11,0.5,1,0,1,3,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
12,"synthetic","LSVCMM",100,11,0.5,1,0,1,3,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
13,"synthetic","LSVCMM",100,11,0.5,1,0,1,4,"aic",FALSE,1,FALSE,FALSE,0,"independent"
14,"synthetic","LSVCMM",100,11,0.5,1,0,1,4,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
15,"synthetic","LSVCMM",100,11,0.5,1,0,1,4,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
16,"synthetic","LSVCMM",100,11,0.5,1,0,1,4,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
17,"synthetic","LSVCMM",100,11,0.5,1,0,1,5,"aic",FALSE,1,FALSE,FALSE,0,"independent"
18,"synthetic","LSVCMM",100,11,0.5,1,0,1,5,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
19,"synthetic","LSVCMM",100,11,0.5,1,0,1,5,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
20,"synthetic","LSVCMM",100,11,0.5,1,0,1,5,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
21,"synthetic","LSVCMM",100,11,0.5,1,0,1,6,"aic",FALSE,1,FALSE,FALSE,0,"independent"
22,"synthetic","LSVCMM",100,11,0.5,1,0,1,6,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
23,"synthetic","LSVCMM",100,11,0.5,1,0,1,6,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
24,"synthetic","LSVCMM",100,11,0.5,1,0,1,6,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
25,"synthetic","LSVCMM",100,11,0.5,1,0,1,7,"aic",FALSE,1,FALSE,FALSE,0,"independent"
26,"synthetic","LSVCMM",100,11,0.5,1,0,1,7,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
27,"synthetic","LSVCMM",100,11,0.5,1,0,1,7,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
28,"synthetic","LSVCMM",100,11,0.5,1,0,1,7,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
29,"synthetic","LSVCMM",100,11,0.5,1,0,1,8,"aic",FALSE,1,FALSE,FALSE,0,"independent"
30,"synthetic","LSVCMM",100,11,0.5,1,0,1,8,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
31,"synthetic","LSVCMM",100,11,0.5,1,0,1,8,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
32,"synthetic","LSVCMM",100,11,0.5,1,0,1,8,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
33,"synthetic","LSVCMM",100,11,0.5,1,0,1,9,"aic",FALSE,1,FALSE,FALSE,0,"independent"
34,"synthetic","LSVCMM",100,11,0.5,1,0,1,9,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
35,"synthetic","LSVCMM",100,11,0.5,1,0,1,9,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
36,"synthetic","LSVCMM",100,11,0.5,1,0,1,9,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
37,"synthetic","LSVCMM",100,11,0.5,1,0,1,10,"aic",FALSE,1,FALSE,FALSE,0,"independent"
38,"synthetic","LSVCMM",100,11,0.5,1,0,1,10,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
39,"synthetic","LSVCMM",100,11,0.5,1,0,1,10,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
40,"synthetic","LSVCMM",100,11,0.5,1,0,1,10,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
41,"synthetic","LSVCMM",100,11,0.5,1,0,1,11,"aic",FALSE,1,FALSE,FALSE,0,"independent"
42,"synthetic","LSVCMM",100,11,0.5,1,0,1,11,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
43,"synthetic","LSVCMM",100,11,0.5,1,0,1,11,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
44,"synthetic","LSVCMM",100,11,0.5,1,0,1,11,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
45,"synthetic","LSVCMM",100,11,0.5,1,0,1,12,"aic",FALSE,1,FALSE,FALSE,0,"independent"
46,"synthetic","LSVCMM",100,11,0.5,1,0,1,12,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
47,"synthetic","LSVCMM",100,11,0.5,1,0,1,12,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
48,"synthetic","LSVCMM",100,11,0.5,1,0,1,12,"aic",FALSE,1,TRUE,TRUE,0,"estimated"
49,"synthetic","LSVCMM",100,11,0.5,1,0,1,13,"aic",FALSE,1,FALSE,FALSE,0,"independent"
50,"synthetic","LSVCMM",100,11,0.5,1,0,1,13,"aic",FALSE,1,FALSE,TRUE,0,"proxy"
51,"synthetic","LSVCMM",100,11,0.5,1,0,1,13,"aic",FALSE,1,FALSE,FALSE,1e-05,"local"
