"job.id","problem","algorithm","n_subjects","n_timepoints","prop_observed","observation_variance","random_effect_variance","effect_size","seed","selection","boot","adaptive","estimate_variance_components","random_effect","kernel_scale","lambda","name"
1,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,1,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
2,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,1,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
3,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,1,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
4,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,1,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
5,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,1,"aic",FALSE,1,TRUE,TRUE,0.1,0,"dense"
6,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,2,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
7,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,2,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
8,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,2,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
9,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,2,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
10,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,2,"aic",FALSE,1,TRUE,TRUE,0.1,0,"dense"
11,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,3,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
12,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,3,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
13,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,3,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
14,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,3,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
15,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,3,"aic",FALSE,1,TRUE,TRUE,0.1,0,"dense"
16,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,4,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
17,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,4,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
18,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,4,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
19,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,4,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
20,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,4,"aic",FALSE,1,TRUE,TRUE,0.1,0,"dense"
21,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,5,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
22,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,5,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
23,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,5,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
24,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,5,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
25,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,5,"aic",FALSE,1,TRUE,TRUE,0.1,0,"dense"
26,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,6,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
27,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,6,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
28,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,6,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
29,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,6,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
30,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,6,"aic",FALSE,1,TRUE,TRUE,0.1,0,"dense"
31,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,7,"aic",FALSE,1,FALSE,FALSE,0.1,-1,"independent"
32,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,7,"aic",FALSE,1,FALSE,TRUE,0.1,-1,"proxy"
33,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,7,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"local"
34,"synthetic","LSVCMM",60,11,0.8,0.2,0,1,7,"aic",FALSE,1,TRUE,TRUE,0.1,-1,"estimated"
