"job.id","problem","algorithm","n_subjects","n_timepoints","prop_observed","observation_variance","random_effect_variance","random_effect_ar1_correlation","effect_size","seed","selection","boot","adaptive","estimate_variance_components","random_effect","kernel_scale","lambda","name"
1,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,0.2,-1,"TV-Independent"
2,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,1,"aic",FALSE,1,FALSE,TRUE,0.2,-1,"TV-Longitudinal (proxy)"
3,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"Cross-sectional"
4,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,1,"aic",FALSE,1,TRUE,TRUE,0.2,-1,"TV-Longitudinal"
5,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,0.2,-1,"TV-Independent"
6,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,2,"aic",FALSE,1,FALSE,TRUE,0.2,-1,"TV-Longitudinal (proxy)"
7,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"Cross-sectional"
8,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,2,"aic",FALSE,1,TRUE,TRUE,0.2,-1,"TV-Longitudinal"
9,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,0.2,-1,"TV-Independent"
10,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,3,"aic",FALSE,1,FALSE,TRUE,0.2,-1,"TV-Longitudinal (proxy)"
11,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,1e-05,-1,"Cross-sectional"
12,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,3,"aic",FALSE,1,TRUE,TRUE,0.2,-1,"TV-Longitudinal"
13,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,4,"aic",FALSE,1,FALSE,FALSE,0.2,-1,"TV-Independent"
14,"synthetic_ar","LSVCMM",50,11,1,0.04,4,0.95,1,4,"aic",FALSE,1,FALSE,TRUE,0.2,-1,"TV-Longitudinal (proxy)"
