"job.id","T_0","T_0.1","T_0.2","T_0.3","T_0.4","T_0.5","T_0.6","T_0.7","T_0.8","T_0.9","T_1"
1,0,0,0,0,0,1,1,1,1,1,1
2,0,0,0,0,0,1,1,1,1,1,1
3,0,0,0,0,0,1,1,1,1,1,1
4,0,0,0,0,0,1,1,1,1,1,1
5,0,0,0,0,0,1,1,1,1,1,1
6,0,0,0,0,0,0,1,1,1,1,1
7,0,0,0,0,0,0,1,1,1,1,1
8,0,0,0,0,0,0,1,1,1,1,1
9,0,0,0,0,0,0,1,1,1,1,1
10,0,0,0,0,0,0,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1
16,0,0,0,0,0,0,0,0,0,1,1
17,0,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,0,0,0,1,1
19,0,0,0,0,0,0,0,0,1,1,1
20,0,0,0,0,0,0,0,0,1,1,1
21,0,0,0,0,0,1,1,1,1,1,1
22,0,0,0,0,0,1,1,1,1,1,1
23,0,0,0,0,0,1,1,1,1,1,1
24,0,0,0,0,0,1,1,1,1,1,1
25,0,0,0,0,0,1,1,1,1,1,1
26,1,1,1,1,1,0,0,1,1,1,1
27,1,1,1,1,1,0,0,1,1,1,1
28,1,1,1,1,1,0,0,1,1,1,1
29,1,1,1,1,1,0,1,1,1,1,1
30,1,1,1,1,1,0,1,1,1,1,1
31,0,0,0,0,0,0,0,1,1,1,1
32,0,0,0,0,0,0,0,1,1,1,1
33,0,0,0,0,0,0,0,1,1,1,1
34,0,0,0,0,0,0,0,1,1,1,1
35,0,0,0,0,0,0,0,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1
51,0,0,0,0,0,0,1,1,1,1,1
52,0,0,0,0,0,0,1,1,1,1,1
53,0,0,0,0,0,0,1,1,1,1,1
54,0,0,0,0,0,0,1,1,1,1,1
55,0,0,0,0,0,1,1,1,1,1,1
56,0,0,0,0,0,1,1,1,1,1,1
57,0,0,0,0,0,1,1,1,1,1,1
58,0,1,0,0,0,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1,1,1,1
66,0,0,0,0,0,0,0,1,1,1,1
67,0,0,0,0,0,0,0,1,1,1,1
68,0,0,0,0,0,0,0,1,1,1,1
69,0,0,0,0,0,0,0,1,1,1,1
70,0,0,0,0,0,0,0,1,1,1,1
71,0,1,1,1,1,1,1,0,0,0,0
72,0,1,1,1,1,1,0,0,0,0,0
73,0,1,1,1,1,1,1,0,0,0,0
74,1,1,1,1,1,1,1,0,0,0,0
75,1,1,1,1,1,1,1,0,0,0,0
76,0,0,0,0,0,0,0,0,1,0,0
77,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,1,0,0
79,0,0,0,0,0,0,0,1,1,1,0
80,0,0,0,0,0,0,0,1,1,1,0
81,0,0,0,0,0,0,1,1,1,1,1
82,0,0,0,0,0,0,1,1,1,1,1
83,0,0,0,0,0,0,1,1,1,1,1
84,0,0,0,0,0,0,1,1,1,1,1
85,0,0,0,0,0,0,1,1,1,1,1
86,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,1,0,0
89,1,1,0,0,0,0,1,1,1,1,1
90,1,1,0,0,0,0,1,1,1,1,1
91,1,1,1,1,1,1,1,1,1,1,1
92,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1
96,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,1,1,1,1
102,0,1,0,0,0,0,0,1,1,1,1
103,0,1,0,0,0,0,0,1,1,1,1
104,1,1,1,1,0,0,1,1,1,1,1
105,1,1,1,1,0,0,1,1,1,1,1
106,0,0,0,0,0,0,0,1,1,0,0
107,0,0,0,0,0,0,0,1,1,0,0
108,0,0,0,0,0,0,0,1,1,0,0
109,1,1,1,1,1,1,1,1,1,1,1
110,1,1,1,1,1,1,1,1,1,1,1
111,0,0,0,0,0,0,0,1,1,1,1
112,0,0,0,0,0,0,0,1,1,1,1
113,1,0,0,0,0,0,1,1,1,1,1
114,1,1,0,0,0,0,1,1,1,1,1
115,1,1,0,0,0,0,1,1,1,1,1
116,0,0,0,0,0,0,1,1,1,1,1
117,0,0,0,0,0,0,0,1,1,1,1
118,0,0,0,0,0,0,0,1,1,1,1
119,0,0,0,0,0,0,1,1,1,1,1
120,0,0,0,0,0,0,1,1,1,1,1
121,1,1,1,1,1,1,0,0,0,0,0
122,1,1,1,1,1,0,0,0,0,0,0
123,1,1,1,1,1,0,0,0,0,0,0
124,1,1,1,1,1,1,0,0,0,0,0
125,1,1,1,1,1,1,0,0,0,0,0
126,0,0,0,0,0,1,1,1,1,1,1
127,0,0,0,0,0,1,1,1,1,1,1
128,0,0,0,0,0,1,1,1,1,1,1
129,0,0,0,0,0,1,1,1,1,1,1
130,0,0,0,0,0,1,1,1,1,1,1
131,0,0,0,0,0,0,1,1,1,1,1
132,0,0,0,0,0,0,1,1,1,1,1
133,0,0,0,0,0,0,1,1,1,1,1
134,0,0,0,0,0,0,1,1,1,1,1
135,0,0,0,0,0,0,1,1,1,1,1
136,0,0,0,0,0,0,0,0,1,1,0
137,0,0,0,0,0,0,0,0,1,1,0
138,0,0,0,0,0,0,0,0,0,1,0
139,0,0,0,0,0,0,0,1,1,1,1
140,0,0,0,0,0,0,0,1,1,1,1
141,1,1,1,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1,1,1,1
146,0,0,0,1,1,1,1,1,1,1,1
147,0,0,0,1,1,1,1,1,1,1,1
148,0,0,0,1,1,1,1,1,1,1,1
149,0,0,0,1,1,1,1,1,1,1,1
150,0,0,0,1,1,1,1,1,1,1,1
151,0,0,0,0,0,0,1,1,1,1,1
152,0,0,0,0,0,0,1,1,1,1,1
153,0,0,0,0,0,0,1,1,1,1,1
154,0,0,0,0,0,1,1,1,1,1,1
155,0,0,0,0,0,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1,0,0,0
157,1,1,1,1,1,1,1,1,0,0,0
158,1,1,1,1,1,1,1,0,0,0,0
159,1,1,1,1,1,1,1,1,0,0,0
160,1,1,1,1,1,1,1,1,0,0,0
161,0,0,0,0,0,0,1,1,1,1,0
162,0,0,0,0,0,0,0,1,0,0,0
163,0,0,0,0,0,0,0,1,0,0,0
164,0,0,0,0,0,0,1,1,1,1,0
165,0,0,0,0,0,0,1,1,1,1,0
166,0,0,0,1,1,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,1,0,0,0,0,0,0
169,0,0,0,1,1,0,0,0,0,0,0
170,0,0,0,1,1,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,1,1,1,1
173,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,1,1,1,1
175,0,0,0,0,0,0,0,1,1,1,1
176,1,1,1,1,1,1,1,1,1,1,1
177,0,1,1,1,0,1,1,1,1,1,1
178,1,1,1,1,0,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1,1,1,1
180,1,1,1,1,1,1,1,1,1,1,1
181,0,0,0,0,0,0,0,1,1,1,1
182,0,0,0,0,0,0,0,1,1,1,1
183,0,0,0,0,0,0,0,1,1,1,1
184,0,0,0,0,0,0,0,1,1,1,1
185,0,0,0,0,0,0,0,1,1,1,1
186,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,1
188,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0
191,1,1,1,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1,1,1,1
193,1,1,1,1,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1,1,1,1
196,1,1,1,0,0,0,1,1,1,1,1
197,1,1,1,0,0,0,1,1,1,1,1
198,1,1,1,0,0,0,1,1,1,1,1
199,1,1,1,0,0,1,1,1,1,1,1
200,1,1,1,0,0,1,1,1,1,1,1
201,0,0,0,0,0,0,1,1,1,1,1
202,0,0,0,0,0,0,1,1,1,1,1
203,0,0,0,0,0,0,1,1,1,1,1
204,0,0,0,0,0,1,1,1,1,1,1
205,0,0,0,0,0,1,1,1,1,1,1
206,0,0,0,0,0,0,1,1,1,1,1
207,0,0,0,0,0,0,0,1,1,1,1
208,0,1,0,0,0,0,0,1,1,1,1
209,0,0,0,0,0,0,1,1,1,1,1
210,0,0,0,0,0,0,1,1,1,1,1
211,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,1,1,1,1
214,0,0,0,0,0,0,0,1,1,1,1
215,0,0,0,0,0,0,0,1,1,1,1
216,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,1
219,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,1,1,1,1,1
222,0,0,0,0,0,0,1,1,1,1,1
223,0,0,0,0,0,0,1,1,1,1,1
224,0,0,0,0,0,0,1,1,1,1,1
225,0,0,0,0,0,0,1,1,1,1,1
226,0,0,0,0,0,0,1,1,1,1,1
227,0,0,0,0,0,0,1,1,1,1,1
228,0,0,0,0,0,0,1,1,1,1,1
229,0,0,0,0,0,0,1,1,1,1,1
230,0,0,0,0,0,0,1,1,1,1,1
231,0,0,0,0,0,0,1,1,1,1,1
232,0,0,0,0,0,0,1,1,1,1,1
233,0,0,0,0,0,0,1,1,1,1,1
234,0,0,0,0,0,0,1,1,1,1,1
235,0,0,0,0,0,0,1,1,1,1,1
236,0,0,0,0,0,0,0,1,1,1,1
237,0,0,0,0,0,0,0,1,1,1,1
238,0,0,0,0,0,0,0,1,1,1,1
239,0,0,0,0,0,0,0,1,1,1,1
240,0,0,0,0,0,0,0,1,1,1,1
241,0,0,0,0,0,0,0,1,1,1,1
242,0,0,0,0,0,0,0,1,1,1,1
243,0,0,0,0,0,0,0,1,1,1,1
244,0,0,0,0,0,0,0,1,1,1,1
245,0,0,0,0,0,0,0,1,1,1,1
246,1,1,1,1,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1,1,1,1
