"job.id","T_0","T_0.1","T_0.2","T_0.3","T_0.4","T_0.5","T_0.6","T_0.7","T_0.8","T_0.9","T_1"
1,0,0,0,0,0,0.486911521163427,0.888821206528078,1.13759092931905,1.36129896689418,1.10996859896664,0.963048905850362
2,0,0,0,0,0,0.481158289301723,0.899348748417351,1.13732892546175,1.40798840756397,1.092826546588,0.950143448495031
3,0,0,0,0,0,0.461850980132745,0.926301737473255,0.985938206603904,1.61484728712811,0.928396712295488,0.91209619013635
4,0,0,0,0,0,0.479255749727056,0.878406238822398,1.16788118866093,1.32135091693076,1.13697774572679,0.958112763519076
5,0,0,0,0,0,0.470582470366899,0.870492762636265,1.17272889793852,1.30269830075936,1.14301534123623,0.950588898956199
6,0,0,0,0,0,0,0.367278137182483,0.692856111230344,1.02198794785024,1.07970215622839,0.845174096841712
7,0,0,0,0,0,0,0.387239917173376,0.705624592921928,1.06304267950566,1.11857669213291,0.885943022630839
8,0,0,0,0,0,0,0.474908100765206,0.682328351408518,1.15086316161479,1.21465371617282,0.837262178934207
9,0,0,0,0,0,0,0.341077753268572,0.695819906087135,1.00701687669842,1.0612827579373,0.875078568219117
10,0,0,0,0,0,0,0.342673876875182,0.702954261993892,1.00431796885864,1.0578866302238,0.854173578303081
11,1.10707858760448,1.05967257249516,1.0717090745814,0.947234400068039,0.962741155485097,1.42733073789545,1.69034529944691,1.9876751134892,2.26820286802199,2.25502419894785,2.20789680004415
12,1.11729426967926,1.05512217231819,1.08430657874205,0.929542867262547,0.911790300624597,1.44633198975618,1.68612709424886,1.98970922002342,2.29926831211831,2.2578693730953,2.20793602908497
13,1.16178119461911,0.985741979299375,1.15003957814543,0.941572681083065,0.702432934576701,1.6141116927595,1.61648340165813,1.96944250219583,2.40577460303191,2.22075946105145,2.20523483311095
14,1.09750249392695,1.07515843760208,1.06110429985255,0.939500045956579,0.998566601226402,1.39285008725198,1.70696458971684,1.99288890735687,2.25236130316552,2.26515882839452,2.20841706560309
15,1.08963494798696,1.0799335921435,1.05672078244061,0.939612683019872,1.01378338382726,1.38158771016309,1.71174152793842,1.9942009443978,2.24454694490172,2.26753798059855,2.20599199049267
16,0,0,0,0,0,0,0,0,0,0.446203233662623,0.79739299138683
17,0,0,0,0,0,0,0,0,0,0.468543911657534,0.879114419969277
18,0,0,0,0,0,0,0,0,0,0.448108996057537,1.08702007573012
19,0,0,0,0,0,0,0,0,0.308446542566086,0.677105977255769,0.969234793930646
20,0,0,0,0,0,0,0,0,0.317245440390705,0.683736795753422,0.947219899945517
21,0,0,0,0,0,0.445629436647013,0.869343512219307,1.19537627248101,1.31433224245718,1.21785681046487,1.03827601172144
22,0,0,0,0,0,0.457500933219888,0.889080452167509,1.22780974946442,1.34751988504493,1.23606197530808,1.07616552984351
23,0,0,0,0,0,0.498396494302431,0.915043422301778,1.2833671464036,1.41012847213559,1.25712123179972,1.06975355767187
24,0,0,0,0,0,0.428165140120549,0.861520481603279,1.1853740477325,1.3035106939308,1.21024435590807,1.05073165995748
25,0,0,0,0,0,0.431642489743342,0.863594339261825,1.18405737107555,1.30145763032107,1.21156373080365,1.02747636515919
