"job.id","problem","algorithm","n_subjects","n_timepoints","prop_observed","observation_variance","random_effect_variance","random_effect_ar1_correlation","effect_size","seed","selection","boot","adaptive","estimate_variance_components","random_effect","kernel","kernel_scale","lambda","name"
1,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
2,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,1,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
3,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
4,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,1,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
5,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,1,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
6,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
7,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,2,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
8,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
9,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,2,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
10,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,2,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
11,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
12,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,3,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
13,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
14,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,3,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
15,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,3,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
16,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,4,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
17,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,4,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
18,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,4,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
19,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,4,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
20,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,4,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
21,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,5,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
22,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,5,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
23,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,5,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
24,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,5,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
25,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,5,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
26,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,6,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
27,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,6,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
28,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,6,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
29,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,6,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
30,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,6,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
31,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,7,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
32,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,7,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
33,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,7,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
34,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,7,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
35,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,7,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
36,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,8,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
37,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,8,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
38,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,8,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
39,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,8,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
40,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,8,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
41,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,9,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
42,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,9,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
43,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,9,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
44,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,9,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
45,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,9,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
46,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,10,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
47,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,10,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
48,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,10,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
49,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,10,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
50,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,10,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
51,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,11,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
52,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,11,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
53,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,11,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
54,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,11,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
55,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,11,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
56,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,12,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
57,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,12,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
58,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,12,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
59,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,12,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
60,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,12,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
61,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,13,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
62,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,13,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
63,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,13,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
64,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,13,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
65,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,13,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
66,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,14,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
67,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,14,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
68,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,14,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
69,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,14,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
70,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,14,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
71,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,15,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
72,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,15,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
73,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,15,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
74,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,15,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
75,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,15,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
76,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,16,"aic",FALSE,1,FALSE,FALSE,"rbf",0.1,-1,"independent,rbf"
77,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,16,"aic",FALSE,1,FALSE,TRUE,"rbf",0.1,-1,"proxy,rbf"
78,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,16,"aic",FALSE,1,FALSE,FALSE,"rbf",1e-05,-1,"local"
79,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,16,"aic",FALSE,1,FALSE,TRUE,"epa",0.15,-1,"proxy,epa"
80,"synthetic_ar","LSVCMM",50,11,1,0.2,4,0.95,1,16,"aic",FALSE,1,FALSE,FALSE,"epa",0.15,-1,"independent,epa"
