"job.id","problem","algorithm","n_subjects","n_timepoints","prop_observed","observation_variance","random_effect_variance","random_effect_ar1_correlation","effect_size","seed","selection","boot","adaptive","estimate_variance_components","kernel","random_effect","kernel_scale","lambda","name"
1,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,1,"aic",FALSE,1,FALSE,"rbf",FALSE,0.1,-1,"TV-Independent (rbf)"
2,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,1,"aic",FALSE,1,FALSE,"rbf",TRUE,0.1,-1,"TV-Longitudinal (proxy, rbf)"
3,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,1,"aic",FALSE,1,FALSE,"rbf",FALSE,1e-05,-1,"Cross-sectional"
4,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,1,"aic",FALSE,1,FALSE,"epa",TRUE,0.05,-1,"TV-Longitudinal (proxy, epa)"
5,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,2,"aic",FALSE,1,FALSE,"rbf",FALSE,0.1,-1,"TV-Independent (rbf)"
6,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,2,"aic",FALSE,1,FALSE,"rbf",TRUE,0.1,-1,"TV-Longitudinal (proxy, rbf)"
7,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,2,"aic",FALSE,1,FALSE,"rbf",FALSE,1e-05,-1,"Cross-sectional"
8,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,2,"aic",FALSE,1,FALSE,"epa",TRUE,0.05,-1,"TV-Longitudinal (proxy, epa)"
9,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,3,"aic",FALSE,1,FALSE,"rbf",FALSE,0.1,-1,"TV-Independent (rbf)"
10,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,3,"aic",FALSE,1,FALSE,"rbf",TRUE,0.1,-1,"TV-Longitudinal (proxy, rbf)"
11,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,3,"aic",FALSE,1,FALSE,"rbf",FALSE,1e-05,-1,"Cross-sectional"
12,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,3,"aic",FALSE,1,FALSE,"epa",TRUE,0.05,-1,"TV-Longitudinal (proxy, epa)"
13,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,4,"aic",FALSE,1,FALSE,"rbf",FALSE,0.1,-1,"TV-Independent (rbf)"
14,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,4,"aic",FALSE,1,FALSE,"rbf",TRUE,0.1,-1,"TV-Longitudinal (proxy, rbf)"
15,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,4,"aic",FALSE,1,FALSE,"rbf",FALSE,1e-05,-1,"Cross-sectional"
16,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,4,"aic",FALSE,1,FALSE,"epa",TRUE,0.05,-1,"TV-Longitudinal (proxy, epa)"
17,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,5,"aic",FALSE,1,FALSE,"rbf",FALSE,0.1,-1,"TV-Independent (rbf)"
18,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,5,"aic",FALSE,1,FALSE,"rbf",TRUE,0.1,-1,"TV-Longitudinal (proxy, rbf)"
19,"synthetic_ar","LSVCMM",30,21,1,0.2,1,0.95,1,5,"aic",FALSE,1,FALSE,"rbf",FALSE,1e-05,-1,"Cross-sectional"
