"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Prevalence","ICC","REVar","Stable","Prevalent","StabPrev"
"1","Otu0001","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae",NA,0.965986394557823,0.44200015435653,2.60595452536299,"0","1","3"
"2","Otu0002","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae",NA,1,0,0,"0","1","3"
"3","Otu0003","d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium",0.965986394557823,0,0,"0","1","3"
"4","Otu0004","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",0.993197278911565,0,0,"0","1","3"
"5","Otu0005","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",0.959183673469388,0.0877299152482125,0.316375443381455,"0","1","3"
"6","Otu0006","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",0.959183673469388,0,0,"0","1","3"
"7","Otu0007","d__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus",1,0,0,"0","1","3"
"8","Otu0008","d__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__Neisseria",0.30952380952381,0.450923716434634,2.70177315944784,"0","1","3"
"9","Otu0009","d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus",0.578231292517007,0.162574912397437,0.638684022670043,"0","1","3"
"10","Otu0010","d__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae",NA,0.159863945578231,0.401089248663242,2.20321764970871,"0","0","4"
"11","Otu0011","d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",0.5,0,0,"0","1","3"
"12","Otu0012","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae",NA,0.217687074829932,0.320893594690364,1.55453932288828,"0","0","4"
"13","Otu0013","d__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae",NA,0.972789115646258,0,0,"0","1","3"
"14","Otu0014","d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae",NA,0.448979591836735,0.438234481772016,2.56643316452831,"0","1","3"
"15","Otu0015","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales",NA,NA,0.758503401360544,0.268254156375197,1.20604825907681,"0","1","3"
"16","Otu0016","d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Caulobacter",0.925170068027211,0.125291684761854,0.471234940761873,"0","1","3"
"17","Otu0017","d__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae",NA,0.105442176870748,0.538478515897056,3.83844170022376,"0","0","4"
"18","Otu0018","d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium",0.904761904761905,0,0,"0","1","3"
"19","Otu0019","d__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces",0.180272108843537,0.307026032248191,1.45759466691878,"0","0","4"
"20","Otu0020","d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae",NA,0.370748299319728,0.03930490717104,0.134598336730468,"0","1","3"
"21","Otu0021","d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",0.17687074829932,0.549579887517682,4.0141310495674,"0","0","4"
"22","Otu0022","d__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Akkermansia",0.353741496598639,0,0,"0","1","3"
"23","Otu0023","d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales",NA,NA,0.30952380952381,0.0642831923874689,0.22601199898013,"0","1","3"
"24","Otu0024","d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae",NA,0.36734693877551,0.0309970751440569,0.105238371462489,"0","1","3"
"25","Otu0025","d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae",NA,0.363945578231293,0,0,"0","1","3"
"26","Otu0026","d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae",NA,0.374149659863946,0,0,"0","1","3"
"27","Otu0027","d__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio",0.299319727891156,0.0801697513677095,0.286735417435082,"0","0","4"
