grouping,median,mean,estimate,L,U,excludes_zero,group,pointwise_confidence,prop0,estimated_time,level,Type,Diagnosis,diff,Within,Change,varname,otu,taxonomy
sex,-0.8423285477781836,-0.8439442782331935,-0.8494262712655613,-1.4530061627773792,-0.2545083292693459,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.333930784251693,8.340750699639674,8.335277951942357,7.700746461102064,8.928664195525194,TRUE,"WT, HP/CIS",0.9960537176240042,1,0,0.977,WT,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.8353601388729235,6.826553011655337,6.69870266409447,5.921121890542036,7.600816892666815,TRUE,"WT, HP/CIS",0.9960537176240042,1,4,0.977,WT,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.467450986773734,6.467771046346355,6.326749548321913,5.267190850478859,7.4879640458182255,TRUE,"WT, HP/CIS",0.9960537176240042,1,8,0.977,WT,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,7.622355563842355,7.62209725126222,7.597550603680441,6.661277133084597,8.477842162205588,TRUE,"WT, HP/CIS",0.9960537176240042,1,12,0.977,WT,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,7.958414668387107,7.9545020294628745,7.8615631858159665,7.145138924896074,8.694943031218093,TRUE,"WT, HP/CIS",0.9960537176240042,1,16,0.977,WT,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.42849882350766,8.43321031716812,8.381387836981059,7.818797719543139,9.099392833640552,TRUE,"WT, HP/CIS",0.9960537176240042,1,22,0.977,WT,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.324976435229264,8.330416291501882,8.335277951942357,7.700746461102064,8.928664195525194,TRUE,"WT, SCC",0.9960537176240042,1,0,0.977,WT,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.819697500568116,6.806092590897911,6.69870266409447,5.891989796750034,7.600816892666815,TRUE,"WT, SCC",0.9960537176240042,1,4,0.977,WT,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.429512971012658,6.431802378266249,6.326749548321913,5.175131235865303,7.4323803772453285,TRUE,"WT, SCC",0.9960537176240042,1,8,0.977,WT,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,7.51778647098046,7.4941554883734245,7.597550603680441,6.279025070678376,8.189664787950987,TRUE,"WT, SCC",0.9960537176240042,1,12,0.977,WT,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,7.825308354726335,7.76338163700838,7.8615631858159665,6.349187405878156,8.616103834693854,TRUE,"WT, SCC",0.9960537176240042,1,16,0.977,WT,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.328053335036273,8.284943085317039,8.381387836981059,7.171155863939217,9.0718016871169,TRUE,"WT, SCC",0.9960537176240042,1,22,0.977,WT,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.333930784251693,8.340719053360159,8.335277951942357,7.700746461102064,8.928664195525194,TRUE,"KO, HP/CIS",0.9960537176240042,1,0,0.98,KO,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.65203590820154,6.62493398370843,6.69870266409447,5.102323933613957,7.571355403061406,TRUE,"KO, HP/CIS",0.9960537176240042,1,4,0.98,KO,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.275081021566093,6.243064970572678,6.326749548321913,4.2246216785623485,7.413092729002814,TRUE,"KO, HP/CIS",0.9960537176240042,1,8,0.98,KO,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.975900937322752,6.945962847895363,6.834552477675479,5.358782505642112,7.897427570392621,TRUE,"KO, HP/CIS",0.9960537176240042,1,12,0.98,KO,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,7.949557824093176,7.9469768544499795,7.8615631858159665,7.145138924896074,8.694943031218093,TRUE,"KO, HP/CIS",0.9960537176240042,1,16,0.98,KO,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.425118957685758,8.43029549355876,8.381387836981059,7.818797719543139,9.099392833640552,TRUE,"KO, HP/CIS",0.9960537176240042,1,22,0.98,KO,HP/CIS,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.324976435229264,8.330384645222367,8.335277951942357,7.700746461102064,8.928664195525194,TRUE,"KO, SCC",0.9960537176240042,1,0,0.978,KO,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.630517832220876,6.5969496217691175,6.69870266409447,4.9969558147478965,7.567951740637237,TRUE,"KO, SCC",0.9960537176240042,1,4,0.978,KO,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.2490987769195945,6.218030696545365,6.326749548321913,4.2246216785623485,7.39561088632156,TRUE,"KO, SCC",0.9960537176240042,1,8,0.978,KO,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,6.855449773801665,6.814435062679749,6.834552477675479,4.820272087668255,7.8499042849006795,TRUE,"KO, SCC",0.9960537176240042,1,12,0.978,KO,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,7.823480348606429,7.755856461995485,7.8615631858159665,6.053766953602468,8.616103834693854,TRUE,"KO, SCC",0.9960537176240042,1,16,0.978,KO,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
groups,8.326269126189231,8.28202826170768,8.381387836981059,7.071404774273379,9.0718016871169,TRUE,"KO, SCC",0.9960537176240042,1,22,0.978,KO,SCC,NA,NA,NA,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.010334408137793015,0,-0.29095589820001583,0,FALSE,NA,0.9920317951094946,0.09,0,0.972,NA,NA,WT: HP/CIS->SCC,WT,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.020460420757426323,0,-0.7517805722728781,0.057534707502458954,FALSE,NA,0.9920317951094946,0.085,4,0.972,NA,NA,WT: HP/CIS->SCC,WT,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.03596866808010619,0,-1.0514068870391222,0.0018677147335689633,FALSE,NA,0.9920317951094946,0.101,8,0.972,NA,NA,WT: HP/CIS->SCC,WT,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.12794176288879566,0,-1.4436938606819483,0,FALSE,NA,0.9920317951094946,0.32,12,0.972,NA,NA,WT: HP/CIS->SCC,WT,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.19112039245449458,0,-1.5583934344466355,0,FALSE,NA,0.9920317951094946,0.414,16,0.972,NA,NA,WT: HP/CIS->SCC,WT,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.14826723185108084,0,-1.4526340387614294,0,FALSE,NA,0.9920317951094946,0.389,22,0.972,NA,NA,WT: HP/CIS->SCC,WT,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-3.164627951434944e-5,0,0,0,FALSE,NA,0.9920317951094946,0.001,0,0.983,NA,NA,HP/CIS: WT->KO,HP/CIS,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.20161902794690648,0,-1.6440261388986597,0,FALSE,NA,0.9920317951094946,0.444,4,0.983,NA,NA,HP/CIS: WT->KO,HP/CIS,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.22470607577367765,0,-2.1131834769049385,0,FALSE,NA,0.9920317951094946,0.379,8,0.983,NA,NA,HP/CIS: WT->KO,HP/CIS,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,-0.6054404128107158,-0.6761344033668579,-0.7629981260049619,-2.1327033568745604,0,FALSE,NA,0.9920317951094946,0.889,12,0.983,NA,NA,HP/CIS: WT->KO,HP/CIS,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.007525175012895375,0,-0.35231811238782196,0,FALSE,NA,0.9920317951094946,0.042,16,0.983,NA,NA,HP/CIS: WT->KO,HP/CIS,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.002914823609359697,0,-0.25210595458161716,0,FALSE,NA,0.9920317951094946,0.016,22,0.983,NA,NA,HP/CIS: WT->KO,HP/CIS,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.010334408137793015,0,-0.29095589820001583,0,FALSE,NA,0.9920317951094946,0.09,0,0.972,NA,NA,KO: HP/CIS->SCC,KO,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.02798436193931299,0,-0.7868243941467007,0.28747844697331887,FALSE,NA,0.9920317951094946,0.113,4,0.972,NA,NA,KO: HP/CIS->SCC,KO,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.025034274027312068,0,-1.0514068870391222,0.874661741130979,FALSE,NA,0.9920317951094946,0.119,8,0.972,NA,NA,KO: HP/CIS->SCC,KO,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.1315277852156136,0,-1.4436938606819483,0,FALSE,NA,0.9920317951094946,0.334,12,0.972,NA,NA,KO: HP/CIS->SCC,KO,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.19112039245449458,0,-1.5583934344466355,0,FALSE,NA,0.9920317951094946,0.414,16,0.972,NA,NA,KO: HP/CIS->SCC,KO,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.14826723185108084,0,-1.4526340387614294,0,FALSE,NA,0.9920317951094946,0.389,22,0.972,NA,NA,KO: HP/CIS->SCC,KO,HP/CIS->SCC,NA,Otu0001,f__Pasteurellaceae
diffs,0,-3.164627951434944e-5,0,0,0,FALSE,NA,0.9920317951094946,0.001,0,0.979,NA,NA,SCC: WT->KO,SCC,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.20914296912879313,0,-1.6440261388986597,0.00932727675287489,FALSE,NA,0.9920317951094946,0.459,4,0.979,NA,NA,SCC: WT->KO,SCC,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.21377168172088354,0,-2.1131834769049385,0.9864810048791061,FALSE,NA,0.9920317951094946,0.393,8,0.979,NA,NA,SCC: WT->KO,SCC,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,-0.621152502364992,-0.6797204256936759,-0.7629981260049619,-2.1327033568745604,0,FALSE,NA,0.9920317951094946,0.89,12,0.979,NA,NA,SCC: WT->KO,SCC,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.007525175012895375,0,-0.35231811238782196,0,FALSE,NA,0.9920317951094946,0.042,16,0.979,NA,NA,SCC: WT->KO,SCC,WT->KO,NA,Otu0001,f__Pasteurellaceae
diffs,0,-0.002914823609359697,0,-0.25210595458161716,0,FALSE,NA,0.9920317951094946,0.016,22,0.979,NA,NA,SCC: WT->KO,SCC,WT->KO,NA,Otu0001,f__Pasteurellaceae
coefs,8.333930784251693,8.340750699639674,8.335277951942357,7.92723760430621,8.756475918699707,TRUE,NA,0.95,1,0,0.775,NA,NA,NA,NA,NA,(Intercept),Otu0001,f__Pasteurellaceae
coefs,6.8353601388729235,6.826553011655337,6.69870266409447,6.210034908746417,7.3833293514678004,TRUE,NA,0.95,1,4,0.775,NA,NA,NA,NA,NA,(Intercept),Otu0001,f__Pasteurellaceae
coefs,6.467450986773734,6.467771046346355,6.326749548321913,5.622251410290907,7.23833535399841,TRUE,NA,0.95,1,8,0.775,NA,NA,NA,NA,NA,(Intercept),Otu0001,f__Pasteurellaceae
coefs,7.622355563842355,7.62209725126222,7.597550603680441,7.131877783145096,8.11619472124791,TRUE,NA,0.95,1,12,0.775,NA,NA,NA,NA,NA,(Intercept),Otu0001,f__Pasteurellaceae
coefs,7.958414668387107,7.9545020294628745,7.8615631858159665,7.434901623191563,8.455844531839725,TRUE,NA,0.95,1,16,0.775,NA,NA,NA,NA,NA,(Intercept),Otu0001,f__Pasteurellaceae
coefs,8.42849882350766,8.43321031716812,8.381387836981059,8.001638723467941,8.87843599094925,TRUE,NA,0.95,1,22,0.775,NA,NA,NA,NA,NA,(Intercept),Otu0001,f__Pasteurellaceae
coefs,0,-0.010334408137793015,-0,-0.16885496121672539,-0,FALSE,NA,0.95,0.09,0,0.866,NA,NA,NA,NA,NA,SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.020460420757426323,-0,-0.34084294352370853,-0,FALSE,NA,0.95,0.085,4,0.866,NA,NA,NA,NA,NA,SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.03596866808010619,-0,-0.5190550709912092,-0,FALSE,NA,0.95,0.101,8,0.866,NA,NA,NA,NA,NA,SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.12794176288879566,-0,-0.970208656984228,-0,FALSE,NA,0.95,0.32,12,0.866,NA,NA,NA,NA,NA,SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.19112039245449458,-0,-1.1447156692881626,-0,FALSE,NA,0.95,0.414,16,0.866,NA,NA,NA,NA,NA,SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.14826723185108084,-0,-0.9301412772808291,-0,FALSE,NA,0.95,0.389,22,0.866,NA,NA,NA,NA,NA,SCC,Otu0001,f__Pasteurellaceae
coefs,0,-3.164627951434944e-5,0,-0,0,FALSE,NA,0.95,0.001,0,0.908,NA,NA,NA,NA,NA,KO,Otu0001,f__Pasteurellaceae
coefs,0,-0.20161902794690648,-0,-1.1794517132008042,-0,FALSE,NA,0.95,0.444,4,0.908,NA,NA,NA,NA,NA,KO,Otu0001,f__Pasteurellaceae
coefs,0,-0.22470607577367765,-0,-1.345341711656052,-0,FALSE,NA,0.95,0.379,8,0.908,NA,NA,NA,NA,NA,KO,Otu0001,f__Pasteurellaceae
coefs,-0.6054404128107158,-0.6761344033668579,-0.7629981260049619,-1.7634517426781848,-0,FALSE,NA,0.95,0.889,12,0.908,NA,NA,NA,NA,NA,KO,Otu0001,f__Pasteurellaceae
coefs,0,-0.007525175012895375,-0,-0.11099590124577763,-0,FALSE,NA,0.95,0.042,16,0.908,NA,NA,NA,NA,NA,KO,Otu0001,f__Pasteurellaceae
coefs,0,-0.002914823609359697,-0,0,-0,FALSE,NA,0.95,0.016,22,0.908,NA,NA,NA,NA,NA,KO,Otu0001,f__Pasteurellaceae
coefs,0,0,0,0,0,FALSE,NA,0.95,0,0,0.948,NA,NA,NA,NA,NA,KO:SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.007523941181886668,-0,-2.3113064355120876e-4,-0,FALSE,NA,0.95,0.029,4,0.948,NA,NA,NA,NA,NA,KO:SCC,Otu0001,f__Pasteurellaceae
coefs,0,0.01093439405279412,0,-0,-0,FALSE,NA,0.95,0.021,8,0.948,NA,NA,NA,NA,NA,KO:SCC,Otu0001,f__Pasteurellaceae
coefs,0,-0.003586022326817932,-0,-0,-0,FALSE,NA,0.95,0.014,12,0.948,NA,NA,NA,NA,NA,KO:SCC,Otu0001,f__Pasteurellaceae
coefs,0,0,0,0,0,FALSE,NA,0.95,0,16,0.948,NA,NA,NA,NA,NA,KO:SCC,Otu0001,f__Pasteurellaceae
coefs,0,0,0,0,0,FALSE,NA,0.95,0,22,0.948,NA,NA,NA,NA,NA,KO:SCC,Otu0001,f__Pasteurellaceae
sex,0.06276495561882625,0.07048244382792203,0.07797232725528519,-0.18616129582997692,0.3680048043784295,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.860723200211515,7.853122901164421,7.857793632394145,7.352658579825714,8.215255894565754,TRUE,"WT, HP/CIS",0.9960537176240042,1,0,0.981,WT,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.662541287355182,7.658277182768408,7.624225034045785,7.233921873556774,8.028518139118347,TRUE,"WT, HP/CIS",0.9960537176240042,1,4,0.981,WT,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.671712904640215,7.669367500221446,7.648075867381602,7.0522730079243106,8.225928492908775,TRUE,"WT, HP/CIS",0.9960537176240042,1,8,0.981,WT,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.035775393032935,7.029702280823911,7.02501326067529,6.566294773647889,7.450895994439059,TRUE,"WT, HP/CIS",0.9960537176240042,1,12,0.981,WT,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,6.460059348109855,6.456326184669231,6.390987463385023,5.939168517056245,6.944148456135966,TRUE,"WT, HP/CIS",0.9960537176240042,1,16,0.981,WT,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.548120576708463,7.538065646059968,7.555963473327119,7.111516483011711,7.880019028032192,TRUE,"WT, HP/CIS",0.9960537176240042,1,22,0.981,WT,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.84939808217761,7.834523978268509,7.857793632394145,7.155946053576122,8.198885433302321,TRUE,"WT, SCC",0.9960537176240042,1,0,0.981,WT,SCC,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.662541287355182,7.658286925656317,7.624225034045785,7.233921873556774,8.028518139118347,TRUE,"WT, SCC",0.9960537176240042,1,4,0.981,WT,SCC,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.677183819675802,7.671731909718729,7.648075867381602,7.0522730079243106,8.225928492908775,TRUE,"WT, SCC",0.9960537176240042,1,8,0.981,WT,SCC,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.0423704679274515,7.039557269890361,7.02501326067529,6.566294773647889,7.517439661268491,TRUE,"WT, SCC",0.9960537176240042,1,12,0.981,WT,SCC,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,6.460972590508543,6.45892031175713,6.390987463385023,5.898917152698872,6.944148456135966,TRUE,"WT, SCC",0.9960537176240042,1,16,0.981,WT,SCC,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.5394305444143335,7.524917031554857,7.555963473327119,6.9690653431766405,7.880019028032192,TRUE,"WT, SCC",0.9960537176240042,1,22,0.981,WT,SCC,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.220464386459721,7.213594177802065,7.191382050600671,6.2398950454123305,7.843905064095286,TRUE,"KO, HP/CIS",0.9960537176240042,1,0,0.979,KO,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.597749344544198,7.587560879087366,7.617357905538489,7.075372975428124,7.985469400948995,TRUE,"KO, HP/CIS",0.9960537176240042,1,4,0.979,KO,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
groups,7.6406366502921,7.630235150959903,7.648075867381602,6.887349260431831,8.225928492908775,TRUE,"KO, HP/CIS",0.9960537176240042,1,8,0.979,KO,HP/CIS,NA,NA,NA,NA,Otu0002,f__Pasteurellaceae
